beta,sample,sim,high_cheese_mean,high_cheese_sd,low_cheese_mean,low_cheese_sd,p
0,70,38,0.81,0.2,0.81,0.23,0.90805366849463
0,70,39,0.8,0.18,0.83,0.2,0.454699329562526
0,70,40,0.83,0.18,0.8,0.18,0.509303081807957
0,70,41,0.8,0.15,0.79,0.16,0.772450675098462
0,70,42,0.72,0.21,0.84,0.19,0.0168367342656968
0,70,43,0.83,0.16,0.81,0.22,0.645395899876836
0,70,44,0.79,0.14,0.85,0.24,0.200282623841057
0,70,45,0.79,0.18,0.81,0.2,0.729107603665417
0,70,46,0.77,0.2,0.8,0.16,0.630130082983962
0,70,47,0.77,0.19,0.8,0.22,0.563773541834663
0,70,48,0.78,0.23,0.8,0.21,0.739571262199124
0,70,49,0.72,0.18,0.82,0.17,0.0301534629863141
0,70,50,0.78,0.18,0.79,0.18,0.832226728416544
0,70,51,0.88,0.18,0.8,0.16,0.0746666098545439
0,70,52,0.8,0.22,0.76,0.22,0.542390150880087
0,70,53,0.78,0.21,0.86,0.22,0.104036562668312
0,70,54,0.8,0.18,0.86,0.2,0.236092110397467
0,70,55,0.81,0.21,0.82,0.22,0.940851679595734
0,70,56,0.79,0.2,0.79,0.18,0.917783132528723
0,70,57,0.78,0.2,0.81,0.22,0.611702295885282
0,70,58,0.82,0.27,0.79,0.21,0.756749437620941
0,70,59,0.79,0.14,0.77,0.21,0.776506522597035
0,70,60,0.76,0.21,0.81,0.25,0.373049444673108
0,70,61,0.83,0.19,0.8,0.2,0.486657152947331
0,70,62,0.84,0.2,0.84,0.23,0.898069716996805
0,70,63,0.81,0.24,0.78,0.2,0.633643842320257
0,70,64,0.79,0.21,0.81,0.22,0.71854220252831
0,70,65,0.79,0.22,0.8,0.18,0.889384299148957
0,70,66,0.81,0.2,0.77,0.2,0.368813965506721
0,70,67,0.78,0.19,0.81,0.21,0.427943135850861
0,70,68,0.83,0.18,0.79,0.17,0.357347275443346
0,70,69,0.85,0.22,0.77,0.22,0.126624106946259
0,70,70,0.83,0.22,0.82,0.25,0.8456721585702
0,70,71,0.81,0.26,0.79,0.24,0.832579746109367
0,70,72,0.8,0.16,0.76,0.24,0.368905962817568
0,70,73,0.76,0.26,0.8,0.15,0.46704137315385
0,70,74,0.81,0.21,0.81,0.18,0.990444046276425
0,70,75,0.78,0.2,0.79,0.18,0.711249678798943
0,70,76,0.82,0.19,0.81,0.17,0.845085401032436
0,70,77,0.84,0.24,0.79,0.2,0.463946696750131
0,70,78,0.77,0.25,0.75,0.19,0.665978730628258
0,70,79,0.83,0.21,0.83,0.18,0.921336767957122
0,70,80,0.8,0.17,0.8,0.2,0.913669487885237
0,70,81,0.8,0.2,0.79,0.19,0.718624551562429
0,70,82,0.76,0.19,0.82,0.21,0.325125180992759
0,70,83,0.74,0.16,0.82,0.2,0.10371716670484
0,70,84,0.77,0.23,0.83,0.19,0.260401701304676
0,70,85,0.81,0.18,0.79,0.19,0.653401152536299
0,70,86,0.82,0.18,0.76,0.2,0.240420467998618
0,70,87,0.79,0.19,0.78,0.19,0.921141912846502
0,70,88,0.73,0.19,0.73,0.19,0.967399995451803
0,70,89,0.79,0.17,0.77,0.23,0.664710794430703
0,70,90,0.84,0.24,0.71,0.26,0.0300911233287248
0,70,91,0.81,0.17,0.84,0.22,0.635554219028309
0,70,92,0.81,0.19,0.79,0.2,0.542775402703771
0,70,93,0.79,0.19,0.82,0.22,0.541809104628195
0,70,94,0.82,0.2,0.76,0.2,0.294105712972388
0,70,95,0.82,0.22,0.75,0.17,0.174165735788571
0,70,96,0.8,0.17,0.79,0.17,0.762724861643008
0,70,97,0.81,0.14,0.76,0.2,0.296466411723378
0,70,98,0.75,0.2,0.82,0.24,0.22029352824641
0,70,99,0.77,0.22,0.8,0.23,0.61038023375116
0,70,100,0.85,0.18,0.81,0.19,0.451532499439319
0,80,1,0.8,0.18,0.85,0.22,0.27694069081379
0,80,2,0.78,0.28,0.8,0.19,0.762171636759446
0,80,3,0.85,0.17,0.83,0.2,0.71609774877103
0,80,4,0.79,0.28,0.78,0.21,0.903805451388601
0,80,5,0.82,0.22,0.81,0.18,0.858235805872775
0,80,6,0.8,0.23,0.85,0.2,0.344247291006692
0,80,7,0.84,0.26,0.78,0.19,0.233661666545701
0,80,8,0.78,0.21,0.82,0.15,0.341266570595762
0,80,9,0.84,0.17,0.8,0.15,0.318152023785778
0,80,10,0.83,0.17,0.81,0.19,0.544370035426087
0,80,11,0.79,0.16,0.82,0.2,0.478938129324547
0,80,12,0.8,0.21,0.81,0.18,0.82562372295411
0,80,13,0.77,0.24,0.83,0.18,0.223024171375985
0,80,14,0.76,0.22,0.8,0.19,0.480575975681321
0,80,15,0.83,0.22,0.82,0.17,0.816916463373685
0,80,16,0.8,0.19,0.8,0.19,0.996497919240077
0,80,17,0.87,0.24,0.83,0.23,0.412857423751436
0,80,18,0.77,0.23,0.8,0.19,0.51720710181472
0,80,19,0.74,0.17,0.8,0.21,0.155705044073903
0,80,20,0.8,0.21,0.84,0.23,0.460244837660152
0,80,21,0.85,0.16,0.78,0.18,0.0682800322450005
0,80,22,0.85,0.18,0.78,0.18,0.115759873535598
0,80,23,0.83,0.18,0.81,0.23,0.661547630187045
0,80,24,0.8,0.22,0.78,0.21,0.626862024679549
0,80,25,0.81,0.2,0.71,0.17,0.0221573665596625
0,80,26,0.8,0.19,0.85,0.19,0.363715132465376
0,80,27,0.77,0.15,0.8,0.23,0.485322496837985
0,80,28,0.85,0.24,0.75,0.18,0.0430429501559357
0,80,29,0.82,0.19,0.84,0.22,0.632868635016231
0,80,30,0.82,0.23,0.79,0.19,0.666875060979826
0,80,31,0.75,0.18,0.81,0.21,0.203873641155328
0,80,32,0.83,0.2,0.78,0.21,0.254536321781355
0,80,33,0.79,0.18,0.76,0.21,0.589051120121026
0,80,34,0.79,0.19,0.76,0.21,0.491525216545752
0,80,35,0.78,0.23,0.77,0.2,0.738618751958597
0,80,36,0.81,0.19,0.8,0.23,0.747489803445132
0,80,37,0.8,0.18,0.83,0.23,0.436675342622544
0,80,38,0.8,0.22,0.79,0.19,0.975462003427687
0,80,39,0.75,0.22,0.73,0.2,0.673959722589103
0,80,40,0.82,0.21,0.8,0.21,0.742054989948036
0,80,41,0.82,0.21,0.82,0.21,0.979491872420386
0,80,42,0.79,0.19,0.75,0.2,0.419164614760404
0,80,43,0.79,0.23,0.79,0.21,0.952939561361909
0,80,44,0.89,0.19,0.8,0.2,0.0544761057523443
0,80,45,0.81,0.12,0.82,0.22,0.855835922670463
0,80,46,0.81,0.16,0.76,0.2,0.211119741860553
0,80,47,0.84,0.22,0.78,0.21,0.201755444883501
0,80,48,0.76,0.19,0.79,0.18,0.473640409366868
0,80,49,0.85,0.18,0.81,0.21,0.338446206845219
0,80,50,0.88,0.18,0.75,0.19,0.00253413136282384
0,80,51,0.83,0.22,0.78,0.22,0.288358936686147
0,80,52,0.89,0.18,0.79,0.2,0.0136779451313417
0,80,53,0.79,0.17,0.8,0.21,0.739663044477416
0,80,54,0.76,0.17,0.79,0.16,0.407019624488757
0,80,55,0.78,0.18,0.77,0.23,0.878462712596054
0,80,56,0.85,0.19,0.79,0.18,0.131211689643931
0,80,57,0.79,0.17,0.87,0.2,0.0625414240698607
